model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
S_CircularTrains-PT-048_LTLF_6_F_,ufscc,64,spotba,215,1.410,2016-07-15.01:05:47,10,9383,56094,9506,58126,0,0,1,9506,9496,10,-1
S_CircularTrains-PT-048_LTLF_7_F_,ufscc,64,spotba,228,1.430,2016-07-15.01:05:50,0,10522,59919,10652,62018,0,0,2,10652,10652,2,-1
S_CircularTrains-PT-048_LTLF_9_F_,ufscc,64,spotba,221,1.220,2016-07-15.01:05:56,0,6237,44194,6361,46241,0,0,1,6361,6361,6,-1
S_Diffusion2D-PT-D05N100_LTLS_0_F_,ufscc,64,spotba,104,0.620,2016-07-15.01:06:01,0,2920,59445,4892,90763,0,0,5991,4892,4892,2,-1
S_Diffusion2D-PT-D05N100_LTLS_1_F_,ufscc,64,spotba,104,0.710,2016-07-15.01:06:04,0,4638,99299,5246,109298,0,0,6644,5245,5245,2,-1
S_Diffusion2D-PT-D05N100_LTLS_2_F_,ufscc,64,spotba,106,0.630,2016-07-15.01:06:06,0,4023,85985,5107,102871,0,0,7726,5106,5106,2,-1
S_Diffusion2D-PT-D05N100_LTLS_3_F_,ufscc,64,spotba,104,0.620,2016-07-15.01:06:08,0,3361,69713,4707,91712,0,0,6079,4706,4706,2,-1
S_Diffusion2D-PT-D05N150_LTLS_0_F_,ufscc,64,spotba,156,0.680,2016-07-15.01:06:11,0,6693,137162,8427,164549,0,0,11132,8427,8427,2,-1
S_Diffusion2D-PT-D05N150_LTLS_1_F_,ufscc,64,spotba,154,0.680,2016-07-15.01:06:14,0,6477,132723,7514,148816,0,0,10290,7511,7511,2,-1
S_Diffusion2D-PT-D05N150_LTLS_2_F_,ufscc,64,spotba,158,0.720,2016-07-15.01:06:16,0,6221,136859,6603,143110,0,0,8417,6577,6577,2,-1
S_Diffusion2D-PT-D05N150_LTLS_3_F_,ufscc,64,spotba,156,0.710,2016-07-15.01:06:19,0,7254,160094,7966,171098,0,0,10681,7963,7963,2,-1
S_Diffusion2D-PT-D05N150_LTLS_4_F_,ufscc,64,spotba,159,0.660,2016-07-15.01:06:21,0,6798,146341,7966,164713,0,0,9955,7959,7959,2,-1
S_Diffusion2D-PT-D05N150_LTLS_5_F_,ufscc,64,spotba,165,0.680,2016-07-15.01:06:23,0,7474,169408,7917,176237,0,0,10704,7887,7887,2,-1
S_Diffusion2D-PT-D05N150_LTLS_6_F_,ufscc,64,spotba,154,0.680,2016-07-15.01:06:26,0,6364,139725,6850,147404,0,0,9060,6828,6828,2,-1
S_Diffusion2D-PT-D05N150_LTLS_7_F_,ufscc,64,spotba,154,0.670,2016-07-15.01:06:29,0,6024,127686,7648,153605,0,0,10853,7647,7647,2,-1
S_Diffusion2D-PT-D05N150_LTLS_8_F_,ufscc,64,spotba,154,0.690,2016-07-15.01:06:32,0,5834,119640,7586,147297,0,0,9896,7586,7586,2,-1
S_Diffusion2D-PT-D05N150_LTLS_9_F_,ufscc,64,spotba,156,0.670,2016-07-15.01:06:34,0,6500,138149,7421,152830,0,0,10162,7419,7419,2,-1
S_Diffusion2D-PT-D05N200_LTLS_0_F_,ufscc,64,spotba,205,0.700,2016-07-15.01:06:37,0,9175,190320,11163,221879,0,0,13630,11163,11163,2,-1
S_Diffusion2D-PT-D05N200_LTLS_1_F_,ufscc,64,spotba,209,0.690,2016-07-15.01:06:39,0,8504,175794,10249,203192,0,0,13491,10249,10249,2,-1
S_Diffusion2D-PT-D05N200_LTLS_2_F_,ufscc,64,spotba,205,0.730,2016-07-15.01:06:42,0,5407,113926,5766,119362,0,0,6919,5765,5765,2,-1
S_Diffusion2D-PT-D05N250_LTLF_1_F_,ufscc,64,spotba,263,0.710,2016-07-15.01:06:44,0,10821,226389,12820,257913,0,0,17485,12820,12820,4,-1
S_Diffusion2D-PT-D05N250_LTLF_6_F_,ufscc,64,spotba,258,0.700,2016-07-15.01:06:46,0,12717,273831,13127,280065,0,0,17304,13127,13127,2,-1
S_Diffusion2D-PT-D05N250_LTLS_0_F_,ufscc,64,spotba,256,0.700,2016-07-15.01:06:49,0,9294,191560,11569,227857,0,0,14446,11568,11568,2,-1
S_Diffusion2D-PT-D05N250_LTLS_1_F_,ufscc,64,spotba,256,0.770,2016-07-15.01:06:51,0,12692,282033,13061,287964,0,0,17678,13061,13061,2,-1
S_Diffusion2D-PT-D05N250_LTLS_2_F_,ufscc,64,spotba,279,0.690,2016-07-15.01:06:54,0,11181,237811,11516,243249,0,0,15496,11514,11514,2,-1
S_Diffusion2D-PT-D05N250_LTLS_3_F_,ufscc,64,spotba,267,0.680,2016-07-15.01:06:56,0,12267,266944,13373,284243,0,0,17523,13369,13369,2,-1
S_Diffusion2D-PT-D05N250_LTLS_4_F_,ufscc,64,spotba,256,0.700,2016-07-15.01:06:59,0,10806,228200,12368,252874,0,0,16852,12368,12368,2,-1
S_Diffusion2D-PT-D05N300_LTLS_0_F_,ufscc,64,spotba,309,0.700,2016-07-15.01:07:01,0,14685,311635,15541,324964,0,0,20237,15537,15537,2,-1
S_Diffusion2D-PT-D05N300_LTLS_1_F_,ufscc,64,spotba,322,0.700,2016-07-15.01:07:04,0,12465,267093,13230,280108,0,0,16592,13217,13217,2,-1
S_Diffusion2D-PT-D05N350_LTLS_0_F_,ufscc,64,spotba,354,0.740,2016-07-15.01:07:06,0,17065,376579,17828,388467,0,0,24530,17818,17818,2,-1
S_Diffusion2D-PT-D05N350_LTLS_1_F_,ufscc,64,spotba,359,0.720,2016-07-15.01:07:09,0,14363,304328,16310,335727,0,0,21272,16310,16310,2,-1
S_Diffusion2D-PT-D05N350_LTLS_2_F_,ufscc,64,spotba,362,0.720,2016-07-15.01:07:11,0,15701,335067,17536,364138,0,0,22829,17536,17536,2,-1
S_Diffusion2D-PT-D10N150_LTLS_0_F_,ufscc,64,spotba,154,1.610,2016-07-15.01:07:22,0,5466,125861,6114,136125,0,0,7794,6114,6114,2,-1
S_Diffusion2D-PT-D10N200_LTLF_0_F_,ufscc,64,spotba,204,1.770,2016-07-15.01:07:27,0,6877,161297,7980,178601,0,0,10479,7980,7980,2,-1
S_Diffusion2D-PT-D10N200_LTLS_0_F_,ufscc,64,spotba,204,1.850,2016-07-15.01:07:32,0,8581,204185,9496,218545,0,0,12478,9496,9496,2,-1
S_Diffusion2D-PT-D10N200_LTLS_1_F_,ufscc,64,spotba,204,1.700,2016-07-15.01:07:38,0,6562,151676,7566,168372,0,0,10307,7566,7566,2,-1
S_Eratosthenes-PT-050_LTLF_10_F_,ufscc,64,spotba,36,0.770,2016-07-15.01:07:46,0,1563,86263,1663,97028,1,0,0,1663,1663,2,-1
S_Eratosthenes-PT-050_LTLF_11_F_,ufscc,64,spotba,36,0.770,2016-07-15.01:07:49,0,1582,87798,1690,99054,3,0,0,1690,1690,3,-1
S_Eratosthenes-PT-050_LTLF_12_F_,ufscc,64,spotba,36,0.740,2016-07-15.01:07:51,0,1304,76904,1408,87867,2,0,0,1408,1408,2,-1
S_Eratosthenes-PT-050_LTLF_13_F_,ufscc,64,spotba,36,0.750,2016-07-15.01:07:54,0,1187,81169,1290,92313,1,0,0,1290,1290,2,-1
