model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
phils.2_F_05,ufscc,64,spotba,7,0.060,2016-07-14.14:29:22,0,101,533,251,1414,0,0,65,251,251,2,-1
phils.2_F_06,ufscc,64,spotba,4,0.060,2016-07-14.14:29:25,0,19,148,118,1157,0,0,1,118,118,2,-1
phils.3_F_01,ufscc,64,spotba,6,0.080,2016-07-14.14:29:26,0,152,615,386,1857,0,0,14,386,386,2,-1
phils.3_F_02,ufscc,64,spotba,6,0.080,2016-07-14.14:29:29,8,84,424,284,2012,0,2,1,284,268,2,-1
phils.3_F_03,ufscc,64,spotba,5,0.070,2016-07-14.14:29:30,0,97,475,275,1546,0,0,1,275,275,2,-1
phils.3_F_04,ufscc,64,spotba,7,0.080,2016-07-14.14:29:33,10,179,797,383,2040,0,1,15,383,370,2,-1
phils.3_F_05,ufscc,64,spotba,8,0.070,2016-07-14.14:29:35,0,44,211,169,996,0,0,1,169,169,2,-1
phils.4_F_01,ufscc,64,spotba,8,0.160,2016-07-14.14:29:37,0,253,2786,429,4581,0,0,193,429,429,2,-1
phils.4_F_02,ufscc,64,spotba,4,0.100,2016-07-14.14:29:39,0,36,511,144,2361,0,0,12,144,144,2,-1
phils.4_F_03,ufscc,64,spotba,3,0.050,2016-07-14.14:29:43,0,10,99,92,920,0,0,1,92,92,2,-1
phils.4_F_04,ufscc,64,spotba,9,0.180,2016-07-14.14:29:46,0,366,4185,534,5903,0,0,346,534,534,2,-1
phils.4_F_05,ufscc,64,spotba,8,0.150,2016-07-14.14:29:51,0,238,2609,391,4154,0,0,175,391,391,2,-1
phils.4_F_06,ufscc,64,spotba,4,0.080,2016-07-14.14:29:53,0,19,287,97,1665,0,0,1,97,97,2,-1
phils.5_F_01,ufscc,64,spotba,7,0.180,2016-07-14.14:29:58,0,250,2696,391,4445,0,0,3,391,391,2,-1
phils.5_F_02,ufscc,64,spotba,6,0.160,2016-07-14.14:30:00,4,205,2756,319,5263,0,0,1,319,315,2,-1
phils.5_F_03,ufscc,64,spotba,6,0.160,2016-07-14.14:30:03,0,192,2191,328,3880,0,0,1,328,328,2,-1
phils.5_F_04,ufscc,64,spotba,12,0.210,2016-07-14.14:30:06,4,239,2915,377,4683,0,1,4,377,373,2,-1
phils.5_F_05,ufscc,64,spotba,7,0.160,2016-07-14.14:30:09,0,184,2084,324,3816,0,0,1,324,324,2,-1
phils.5_F_06,ufscc,64,spotba,14,0.260,2016-07-14.14:30:11,500,1004,4889,1168,7732,1,3,3,1168,658,2,-1
phils.6_F_01,ufscc,64,spotba,9,0.370,2016-07-14.14:30:15,0,482,6291,600,8121,0,0,21,600,600,2,-1
phils.6_F_02,ufscc,64,spotba,7,0.230,2016-07-14.14:30:19,2,265,4593,374,7593,0,0,2,374,372,2,-1
phils.6_F_03,ufscc,64,spotba,5,0.160,2016-07-14.14:30:25,0,133,1927,256,3832,0,0,1,256,256,2,-1
phils.6_F_04,ufscc,64,spotba,9,0.270,2016-07-14.14:30:31,8,403,5830,527,7870,0,0,12,527,519,2,-1
phils.6_F_05,ufscc,64,spotba,8,0.200,2016-07-14.14:30:39,0,234,3359,360,5306,0,0,1,360,360,2,-1
phils.6_F_06,ufscc,64,spotba,17,0.330,2016-07-14.14:30:44,297,796,7346,902,10361,1,0,10,902,605,2,-1
phils.7_F_01,ufscc,64,spotba,7,0.210,2016-07-14.14:30:47,0,227,3457,359,5314,0,0,140,359,359,2,-1
phils.7_F_02,ufscc,64,spotba,4,0.090,2016-07-14.14:30:50,0,35,687,130,3089,0,0,1,130,130,2,-1
phils.7_F_03,ufscc,64,spotba,3,0.070,2016-07-14.14:30:53,0,14,195,122,1708,0,0,1,122,122,2,-1
phils.7_F_04,ufscc,64,spotba,11,0.320,2016-07-14.14:30:56,2,541,8407,671,10239,0,0,529,670,668,2,-1
phils.7_F_05,ufscc,64,spotba,7,0.200,2016-07-14.14:31:00,0,259,3920,393,5809,0,0,185,393,393,2,-1
phils.7_F_06,ufscc,64,spotba,4,0.080,2016-07-14.14:31:04,0,30,615,122,2974,0,0,1,122,122,2,-1
phils.8_F_01,ufscc,64,spotba,12,0.310,2016-07-14.14:31:07,0,400,5844,520,7825,0,0,6,520,520,2,-1
phils.8_F_02,ufscc,64,spotba,6,0.210,2016-07-14.14:31:10,1,201,3663,310,6830,0,0,1,310,309,2,-1
phils.8_F_03,ufscc,64,spotba,5,0.100,2016-07-14.14:31:13,0,74,1184,198,3244,0,0,1,198,198,2,-1
phils.8_F_04,ufscc,64,spotba,17,0.270,2016-07-14.14:31:16,5,319,4917,453,7208,0,0,7,453,448,2,-1
phils.8_F_05,ufscc,64,spotba,7,0.220,2016-07-14.14:31:27,0,209,3202,332,5232,0,0,1,332,332,2,-1
phils.8_F_06,ufscc,64,spotba,18,0.260,2016-07-14.14:31:37,65,269,3762,367,6738,1,0,0,367,302,2,-1
protocols.1_F_01,ufscc,64,spotba,18,0.100,2016-07-14.14:31:39,0,249,658,1055,2577,0,0,1,1055,1055,2,-1
protocols.1_F_03,ufscc,64,spotba,10,0.090,2016-07-14.14:31:42,0,128,314,608,1466,0,0,2,608,608,2,-1
protocols.1_F_05,ufscc,64,spotba,20,0.110,2016-07-14.14:31:45,2,260,681,900,2182,0,0,1,900,898,4,-1
protocols.1_F_06,ufscc,64,spotba,28,0.180,2016-07-14.14:31:47,141,681,1459,2108,4952,0,133,1,2108,1917,4,-1
protocols.2_F_01,ufscc,64,spotba,13,0.080,2016-07-14.14:31:49,0,160,536,696,2252,0,0,213,692,681,2,-1
protocols.2_F_02,ufscc,64,spotba,4,0.040,2016-07-14.14:31:51,0,9,25,184,569,0,0,1,184,184,1,-1
protocols.2_F_03,ufscc,64,spotba,13,0.080,2016-07-14.14:31:53,0,126,418,403,1322,0,0,115,399,397,2,-1
protocols.2_F_04,ufscc,64,spotba,5,0.050,2016-07-14.14:31:54,0,14,49,107,591,0,0,1,107,107,2,-1
protocols.2_F_05,ufscc,64,spotba,5,0.050,2016-07-14.14:31:56,0,14,43,168,539,0,0,1,168,168,4,-1
protocols.3_F_01,ufscc,64,spotba,24,0.150,2016-07-14.14:31:58,0,417,1037,1329,2959,1,0,0,1329,1329,2,-1
