model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
elevator.4_F_044,ufscc,64,spotba,50,0.360,2016-07-15.07:43:41,1211,3027,7617,4172,11646,0,1067,1,4172,2242,10,-1
elevator.4_F_045,ufscc,64,spotba,55,0.570,2016-07-15.07:43:44,453,6047,16737,6421,18336,0,650,23,6419,5939,9,-1
elevator.4_F_046,ufscc,64,spotba,28,0.270,2016-07-15.07:43:46,764,1756,5041,2538,7993,0,467,1,2538,1355,13,-1
elevator.4_F_047,ufscc,64,spotba,23,0.320,2016-07-15.07:43:49,1066,2474,4948,4064,9598,0,1372,1,4064,1733,6,-1
elevator.4_F_048,ufscc,64,spotba,131,0.600,2016-07-15.07:43:52,591,7410,16522,7738,19682,0,69,75,7738,7134,41,-1
elevator.4_F_049,ufscc,64,spotba,89,0.540,2016-07-15.07:43:55,2866,7915,18228,8345,20721,0,1052,30,8345,5611,24,-1
elevator.4_F_051,ufscc,64,spotba,106,0.580,2016-07-15.07:44:01,1190,8058,16273,8498,17825,0,657,23,8498,7277,22,-1
elevator.4_F_053,ufscc,64,spotba,76,0.500,2016-07-15.07:44:10,474,5463,15789,5885,17532,0,699,5,5885,5296,10,-1
elevator.4_F_054,ufscc,64,spotba,49,0.430,2016-07-15.07:44:12,116,3813,8136,4165,9246,0,4,1,4165,4045,10,-1
elevator.4_F_055,ufscc,64,spotba,144,0.610,2016-07-15.07:44:15,6729,10313,26877,11442,31506,0,4486,3,11442,4228,14,-1
elevator.4_F_056,ufscc,64,spotba,42,0.720,2016-07-15.07:44:19,18463,22031,37737,22659,40169,0,11031,86,22659,4339,14,-1
elevator.4_F_057,ufscc,64,spotba,84,1.380,2016-07-15.07:44:23,1795438,3821416,13386945,4660446,17128173,0,6818726,3693769,4091670,301272,29,-1
