model,alg,workers,buchi,ltl,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,buchisize,scclist
S_HouseConstruction-PT-010_LTLS_6_T_,ndfs,1,spotba,-1,14.930,2016-07-05.17:33:15,-1,-1,-1,2571998,9772620,-1,-1,-1,-1,-1,1,-1
S_HouseConstruction-PT-020_LTLF_0_F_,ndfs,1,spotba,362,0.530,2016-07-05.17:33:16,-1,-1,-1,361,1091,-1,-1,-1,-1,-1,5,-1
S_HouseConstruction-PT-020_LTLF_13_F_,ndfs,1,spotba,362,0.520,2016-07-05.17:33:16,-1,-1,-1,361,1056,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-020_LTLF_14_F_,ndfs,1,spotba,362,0.520,2016-07-05.17:33:17,-1,-1,-1,361,1056,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-020_LTLF_1_F_,ndfs,1,spotba,362,0.510,2016-07-05.17:33:17,-1,-1,-1,361,1035,-1,-1,-1,-1,-1,3,-1
S_HouseConstruction-PT-020_LTLF_3_F_,ndfs,1,spotba,362,0.480,2016-07-05.17:33:18,-1,-1,-1,361,924,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-020_LTLF_4_F_,ndfs,1,spotba,362,0.500,2016-07-05.17:33:19,-1,-1,-1,361,996,-1,-1,-1,-1,-1,3,-1
S_HouseConstruction-PT-020_LTLF_5_F_,ndfs,1,spotba,362,0.450,2016-07-05.17:33:19,-1,-1,-1,361,883,-1,-1,-1,-1,-1,7,-1
S_HouseConstruction-PT-020_LTLF_6_F_,ndfs,1,spotba,362,0.490,2016-07-05.17:33:20,-1,-1,-1,361,981,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-020_LTLF_7_F_,ndfs,1,spotba,-1,600.000,2016-07-05.17:43:20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1
S_HouseConstruction-PT-020_LTLF_9_F_,ndfs,1,spotba,362,0.500,2016-07-05.17:43:20,-1,-1,-1,361,1014,-1,-1,-1,-1,-1,2,-1
S_HouseConstruction-PT-020_LTLS_10_T_,ndfs,1,spotba,-1,27.130,2016-07-05.17:43:48,-1,-1,-1,6230609,20906589,-1,-1,-1,-1,-1,1,-1
